epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,806.143,0.7055,0.4153,0.90395,0.99003,0.99434,0.99443,0.83736,0.6081,0.35557,0.87403,0.000231213,0.000231213,0.000231213
89,816.855,0.7335,0.42892,0.92332,0.98646,0.9951,0.99435,0.85268,0.57173,0.34518,0.86817,0.00021471,0.00021471,0.00021471
90,826.843,0.69788,0.41175,0.90057,0.98979,0.99151,0.99435,0.8435,0.58847,0.34334,0.87064,0.000198206,0.000198206,0.000198206
91,836.092,0.68849,0.40783,0.89518,0.98729,0.99383,0.99398,0.84207,0.59265,0.35236,0.87102,0.000181703,0.000181703,0.000181703
92,845.319,0.6544,0.37975,0.89123,0.98339,0.99409,0.99405,0.84206,0.58344,0.35022,0.86788,0.0001652,0.0001652,0.0001652
93,854.799,0.64381,0.36926,0.88132,0.98783,0.99317,0.99426,0.84345,0.57889,0.35108,0.86623,0.000148696,0.000148696,0.000148696
94,864.043,0.65803,0.37736,0.88966,0.99398,0.99146,0.99436,0.84475,0.57354,0.34493,0.865,0.000132193,0.000132193,0.000132193
95,874.186,0.63988,0.36762,0.88144,0.99228,0.99165,0.99441,0.84457,0.57193,0.34263,0.86432,0.00011569,0.00011569,0.00011569
96,884.641,0.62077,0.35529,0.87397,0.99149,0.99278,0.99463,0.8503,0.56807,0.3413,0.8624,9.91865e-05,9.91865e-05,9.91865e-05
97,894.962,0.6333,0.37006,0.88272,0.99112,0.99361,0.99476,0.84973,0.5683,0.33921,0.86544,8.26832e-05,8.26832e-05,8.26832e-05
98,905.352,0.61705,0.35625,0.87748,0.99093,0.99375,0.99479,0.85224,0.56215,0.33602,0.86466,6.61799e-05,6.61799e-05,6.61799e-05
99,915.139,0.62307,0.35729,0.87886,0.9903,0.99396,0.9948,0.8558,0.5545,0.33224,0.86326,4.96766e-05,4.96766e-05,4.96766e-05
100,924.528,0.62704,0.37304,0.87919,0.9914,0.99405,0.99465,0.85571,0.5547,0.33179,0.86332,3.31733e-05,3.31733e-05,3.31733e-05
